genes	logFC	logCPM	LR	PValue	FDR
Bra020265	0.725335996725451	-0.255031812521794	0.26632877781009	0.605805159357168	0.740255432313784
Bra016790	-0.642277083564143	2.22544938977201	0.266244249774203	0.60586236157631	0.740281570184836
Bra006565	0.0998257946901706	4.19104050077086	0.266199552794205	0.605892613779251	0.740281570184836
Bra031110	0.327149038785013	0.817039599228287	0.266197083126428	0.605894285415258	0.740281570184836
Bra028453	-0.110002291957991	4.40961505281865	0.266038695527421	0.606001513227802	0.74038499084066
Bra016426	0.215891163756869	4.03130708799427	0.266005036428012	0.606024305518525	0.740385248166184
Bra000188	0.31830916706433	-0.247800304984888	0.265946669150196	0.606063833303444	0.74040595061182
Bra005372	-0.10995048028274	2.52481792087967	0.265883113106327	0.606106881296481	0.740406274400146
Bra035450	0.0919908060062228	2.29185628424618	0.265873026393287	0.606113713861664	0.740406274400146
Bra000648	0.0816273817403247	4.67639861471795	0.265823202478884	0.606147466127616	0.740406274400146
Bra007784	0.132851121975416	4.05271837791322	0.265812926944292	0.60615442759169	0.740406274400146
Bra013657	-0.308738173897479	3.16404147586162	0.265754028662656	0.606194333256665	0.740408499818894
Bra021179	0.6568250442123	7.68842147225773	0.265743578413876	0.606201414253771	0.740408499818894
Bra012639	0.465901214815713	2.68475800382306	0.265707422963914	0.606225914229863	0.740410841864575
Bra009334	-0.158186458704424	6.01317890814327	0.265615723695049	0.606288061762758	0.7404287871203
Bra037422	-0.187988313415224	3.62864466316006	0.265592120219679	0.606304060791492	0.7404287871203
Bra002123	0.305993891376257	2.12080950277656	0.265585783316027	0.60630835625723	0.7404287871203
Bra023646	0.0722092273782835	4.90837448823542	0.265544391880347	0.606336415008579	0.74043132516691
Bra029870	-0.0871704666606827	3.13843161668361	0.265516092042638	0.606355600717709	0.74043132516691
Bra022309	0.0619524261232772	4.95309108659481	0.265463347810641	0.606391361814046	0.740447416476002
Bra026399	0.0663664566434512	6.19435960651748	0.265371659467952	0.606453538093632	0.740488776477311
Bra017417	-0.165090119939784	4.19005705981937	0.265346792542843	0.606470403353317	0.740488776477311
Bra013537	0.107934232931249	5.97219791693839	0.265248109847704	0.606537341844933	0.740521904934667
Bra031070	0.399897115041287	2.08128166732198	0.26524003940105	0.606542816890936	0.740521904934667
Bra016304	0.119614816200813	3.69548505529087	0.265206909525375	0.606565293528697	0.740521904934667
Bra023235	-0.254075997524788	9.47064527449131	0.26517280426711	0.60658843376068	0.74052258173703
Bra035518	-0.114007184186243	1.65463739284293	0.265124461576228	0.606621237239019	0.740535054931704
Bra019630	0.57306494306609	0.243260772690424	0.26499838664153	0.606706804612418	0.740611936513919
Bra022604	0.511513084087489	-0.479089920304316	0.264926782581334	0.606755413932453	0.740632667529658
Bra000085	0.0786627944376048	4.55231004964651	0.264906822118924	0.606768965825301	0.740632667529658
Bra033516	-0.182195572827197	1.72840165508781	0.264767547866896	0.606863542221107	0.740720533050533
Bra029506	0.0647091474065037	4.0404898543633	0.264359238216009	0.607140992817676	0.741031594814918
Bra020717	0.0875096915595771	2.34520646219855	0.264288728327344	0.607188932437657	0.741062519648357
Bra037586	0.139407373099384	5.66216061983833	0.264207449547982	0.607244203850884	0.741102390160393
Bra018586	0.0522179787884605	5.89818260476613	0.264108030010899	0.607311826006439	0.741157330427794
Bra037633	-0.25374874037837	-0.0826503564601433	0.264012176578547	0.607377037841216	0.741188901997099
Bra034348	0.0532423658874187	5.07683714875281	0.264003548601652	0.607382908434991	0.741188901997099
Bra012695	-0.120067102832938	1.00446926210614	0.263956012289299	0.607415254968241	0.741200787697484
Bra031784	0.316001290905405	7.01334637763957	0.263776375929737	0.607537523480002	0.741315769937678
Bra022465	0.122140617431072	1.82773417788016	0.263751141744557	0.607554703205397	0.741315769937678
Bra033847	0.159641943566845	2.64573173680597	0.263652031462584	0.60762218868466	0.741370523236229
Bra027907	-0.287160799533971	3.02586981046215	0.263593554842373	0.60766201369429	0.741389904563186
Bra007800	0.164469325806356	2.28442770951721	0.263562305457725	0.607683298113004	0.741389904563186
Bra002788	-0.267556298897856	5.12729544523129	0.263351214926814	0.607827116775799	0.741537774055
Bra037441	0.118033215386207	4.25641734449677	0.263180589149201	0.607943419515505	0.741652064877767
Bra010280	0.107927947629682	6.12023142730229	0.263139160807803	0.607971665280159	0.741658927318546
Bra007904	-0.350244728371259	3.85087054115875	0.263027846306912	0.608047573209864	0.741723929713216
Bra014671	0.128330727348049	7.10839665780436	0.262672833412026	0.608289800307714	0.741989390768453
Bra039447	0.0753579423901661	4.24837004261656	0.262642578357465	0.608310453041023	0.741989390768453
Bra013176	0.228517167776542	9.88228800679566	0.262524340024626	0.608391179408459	0.742036097261331
Bra035427	0.0651519342904787	6.33372674292903	0.262520196477375	0.608394008801632	0.742036097261331
Bra033264	0.297906932911053	1.7448720131099	0.262124734880928	0.608664176905922	0.74233799680893
Bra006060	0.314598271511927	-0.00768637820154465	0.261719223626812	0.608941477889071	0.742648572963434
Bra016976	0.0600542521843141	5.13544847594532	0.261671737350579	0.608973968181343	0.742660572615276
Bra007126	-0.083688977086982	4.75911979814564	0.261339131269636	0.609201642861128	0.742910595272179
Bra038115	-0.5291881669993	-0.613125240660549	0.261245154563426	0.609266004670403	0.742961449590081
Bra018824	-0.100348687452609	2.97446320176482	0.261158243892552	0.609325540161812	0.743006414954081
Bra015926	-0.0717954849602098	6.30895193286237	0.261026535042042	0.609415787090543	0.743088824847991
Bra012867	-0.0819748105959963	5.55744027835958	0.260911352639297	0.609494733630874	0.743157450039251
Bra000172	0.415693015030592	0.404904220164403	0.260867222097666	0.609524986725923	0.743166700374952
Bra029617	-0.0752246718869316	5.83486168681765	0.260743493852978	0.609609824155683	0.743242499798914
Bra018694	-0.0794239704333119	4.97020129359226	0.260623905170476	0.609691847309986	0.743288948711092
Bra032525	-0.065654432788282	6.63201384339244	0.260621842632389	0.609693262165984	0.743288948711092
Bra029447	0.0675648807707577	4.68010238445267	0.260558338645055	0.60973682796605	0.743314421956604
Bra020309	-0.118743600715618	4.36397614857775	0.260392778409503	0.609850439145941	0.74342528064686
Bra008159	0.101916766866659	6.34445134542293	0.260170519983006	0.610003029505411	0.743521189854514
Bra031083	-0.0795336075401715	7.19747867597916	0.260161888910602	0.610008956779518	0.743521189854514
Bra016269	-0.105800642148792	8.63325644961319	0.26015661642603	0.61001257764909	0.743521189854514
Bra016959	-0.0756231610446444	4.39515708809615	0.260137828719024	0.610025480450002	0.743521189854514
Bra023450	0.259610728605321	6.56263917451442	0.260113044353773	0.610042502463668	0.743521189854514
Bra023677	0.0890727748583567	2.48421968520777	0.259980466345915	0.610133574994167	0.74360454699776
Bra039862	-0.076897795971081	3.76890099921758	0.259921635168268	0.610173997586943	0.743626170274063
Bra006058	0.142340535885408	2.82912696163753	0.259371927367063	0.610551977730037	0.744059161977205
Bra023239	-0.205884144873802	5.71106548905936	0.259303358948316	0.610599160883976	0.744089005311389
Bra034821	0.143492602514096	6.67683524621801	0.259257983618951	0.610630388778453	0.744099403734451
Bra033959	0.182136544929523	0.764791913535521	0.259125779027457	0.610721393329122	0.744182641062992
Bra039665	-0.150671067875998	3.42458427729772	0.259055421756244	0.610769836483713	0.744210839394028
Bra003799	0.294532290729498	3.62734767831576	0.25899787198162	0.610809467439855	0.744210839394028
Bra011612	-0.367161466818985	1.47617086888839	0.258970835791601	0.610828087498926	0.744210839394028
Bra001307	0.176982630346016	4.8969909145278	0.258928795623575	0.61085704335893	0.744210839394028
Bra005404	0.137065508675539	6.36477778037548	0.258927368530252	0.610858026344957	0.744210839394028
Bra033892	0.126787449946334	3.59663709760163	0.258871177743281	0.610896733433215	0.744230342179424
