logFC	logCPM	LR	PValue	FDR	V1
0.0720617811224661	4.07412553395085	0.221630117544606	0.637800647837681	0.999725330862621	Bra015423
-0.112508260926439	1.07860421595902	0.22153951141096	0.637869383344422	0.999725330862621	Bra004276
-0.0934488461833561	2.99922047180394	0.221529294931845	0.637877134833567	0.999725330862621	Bra029295
0.0831058350254753	5.91485973596821	0.221426518061456	0.637955126273215	0.999725330862621	Bra018662
0.743434948092391	2.44651498339279	0.221387876989141	0.637984454473042	0.999725330862621	Bra012534
0.879145027312925	0.224818227141482	0.221368821934831	0.637998918225702	0.999725330862621	Bra012419
-0.146633612591593	4.17746677144915	0.221315554202974	0.63803935516972	0.999725330862621	Bra003077
0.0711353558238685	6.05058120977108	0.221237036956509	0.638098970526231	0.999725330862621	Bra016305
-0.0709693951084045	4.47164398168266	0.22122493597259	0.638108159522463	0.999725330862621	Bra006520
0.0788854940276526	3.48467464616937	0.221181257538884	0.638141329706361	0.999725330862621	Bra020625
-0.0764063954758498	4.94774673414571	0.221065805133676	0.638229025590234	0.999725330862621	Bra005487
-0.12877825041809	2.56564273975598	0.221021206293848	0.638262909675077	0.999725330862621	Bra006320
0.257341829290853	9.75919397935386	0.220934240969711	0.63832899381431	0.999725330862621	Bra010717
0.428989360865107	-0.571380629414152	0.22075844366347	0.638462629058804	0.999725330862621	Bra022379
0.235503562382835	4.68428930012153	0.220751405995898	0.638467980210853	0.999725330862621	Bra027237
-0.125628613771886	1.26437099661823	0.220675142618923	0.638525974415194	0.999725330862621	Bra100862
0.14011726268351	2.97964932146361	0.220619601385415	0.638568218240684	0.999725330862621	Bra007414
-0.0690070842613568	4.84803602974105	0.220567021390394	0.638608215773961	0.999725330862621	Bra039730
0.20004007580472	3.52218172064676	0.220563603440453	0.638610816005418	0.999725330862621	Bra016585
0.0921747274228411	4.35109348136026	0.220542005779208	0.638627247159402	0.999725330862621	Bra002313
0.230898556686508	0.705635481928369	0.22047484431009	0.638678348802565	0.999725330862621	Bra022068
-0.106795581617428	5.13123576145139	0.220439261541685	0.638705426776177	0.999725330862621	Bra012832
0.201362309104863	2.71945315131954	0.220392243226144	0.638741211127239	0.999725330862621	Bra025479
-0.0804065891487187	5.54408890523181	0.220391756514005	0.638741581574865	0.999725330862621	Bra007266
-0.149265086507708	5.25634982919433	0.220362055120219	0.638764188922797	0.999725330862621	Bra035641
-0.141642392832723	4.41936227639827	0.22035522448418	0.638769388354751	0.999725330862621	Bra024231
